,labels,A680_N0,A680_N1,A680_N2,A680_C0,A680_C1,A680_C2,sites,y,x,A594_N0,A594_N1,A594_N2,A594_C0,A594_C1,A594_C2,A532_N0,A532_N1,A532_N2,A532_C0,A532_C1,A532_C2,A488_N0,A488_N1,A488_N2,A488_C0,A488_C1,A488_C2,A430_N0,A430_N1,A430_N2,A430_C0,A430_C1,A430_C2,A405_N0,A405_N1,A405_N2,A405_C0,A405_C1,A405_C2
13906,1,90.6226196289,0.0,200.807052612,75.4367523193,0.0,106.453079224,E9-Site_0,1.68421052632,32.5263157895,183.97265625,2382.40600586,859.512756348,100.465789795,1454.45373535,532.952697754,1538.7434082,156.654067993,70.2194595337,285.542663574,25.6894187927,34.5199813843,0.0,0.0,0.0,31.2747573853,9.75467681885,0.0,0.0,334.193450928,75.7158203125,0.0,54.8976287842,43.4820518494,0.0,1873.59216309,204.810424805,0.0,605.188110352,91.354675293
13907,2,67.1162567139,0.0,180.402923584,60.0746383667,0.0,116.686019897,E9-Site_0,2.4347826087,107.434782609,27.8567771912,1003.45904541,302.923858643,60.1287307739,1211.09545898,315.819152832,1273.61437988,81.0894927979,14.109131813,227.273162842,52.1870040894,18.7101020813,0.0,0.0,0.183534741402,79.8003387451,0.0,0.0,5.01875972748,353.262115479,64.2387924194,0.0,49.504196167,54.3340454102,0.0,2634.03442383,215.839889526,0.0,565.348144531,78.2601928711
13908,3,63.2615356445,0.0,212.845474243,67.5843200684,0.0,81.1248321533,E9-Site_0,5.125,290.75,119.850646973,1350.40966797,516.291015625,100.053665161,1076.54650879,268.536010742,5090.83300781,224.02557373,19.2191429138,121.677536011,51.4013290405,21.2257862091,0.0,0.0,8.99635696411,60.3790283203,5.81847286224,0.0,0.0,376.032470703,136.607406616,0.0,44.2896347046,61.5710830688,0.0,2161.68701172,198.174758911,0.0,543.548339844,53.7388839722
13910,5,48.0059890747,0.0,164.075866699,36.789264679,0.0,100.746368408,E9-Site_0,12.3695652174,40.7608695652,58.8865013123,1186.61523438,358.291503906,95.6604232788,1149.61523438,310.192626953,3021.32446289,136.875183105,13.3107299805,113.368736267,42.3231391907,26.4191932678,0.0,0.0,0.0,65.3812484741,8.89503765106,0.0,0.0,324.224609375,81.4247970581,0.0,33.9755477905,29.8128452301,0.0,1771.76611328,297.66583252,0.0,455.622711182,53.2495689392
13913,8,100.30430603,0.0,277.979248047,96.350692749,0.0,156.661865234,E9-Site_0,20.3888888889,265.444444444,58.212562561,1796.61157227,496.45098877,117.122756958,1801.1315918,583.479736328,2238.41357422,164.969696045,19.5044822693,135.351226807,84.5275115967,68.6230316162,0.0,0.0,0.0,130.758148193,0.0,0.0,0.0,472.409606934,84.8454742432,0.0,45.244972229,66.9539031982,0.0,3090.23486328,159.102478027,0.0,821.490966797,146.03729248
13914,9,59.0192985535,0.0,216.617172241,73.3398132324,0.0,115.051986694,E9-Site_0,25.1304347826,49.4782608696,113.461364746,1359.7557373,579.780822754,165.607452393,1403.33251953,460.313659668,4043.04785156,224.96055603,21.5014095306,167.088424683,67.8887939453,27.4570655823,0.0,0.0,0.0,132.263442993,14.1887588501,0.0,8.100274086,370.536315918,78.23878479,0.0,47.5435562134,55.1011238098,0.0,2149.46972656,152.068069458,0.0,663.256835938,81.3598403931
13915,10,41.558013916,0.0,229.143295288,81.1302490234,0.0,104.678787231,E9-Site_0,29.875,66.875,153.989471436,1173.24975586,663.388427734,166.253707886,1338.01184082,395.185516357,8703.13085938,347.975708008,39.3512954712,158.516036987,69.6294631958,23.4322414398,0.0,0.0,0.0,181.142181396,39.8231620789,0.0,0.0,574.409423828,105.75151062,0.0,51.6029205322,46.0909118652,0.0,2542.61572266,196.565612793,0.0,819.071166992,64.8258132935
13916,11,63.1011238098,0.0,127.344970703,87.236038208,0.0,121.757881165,E9-Site_0,36.3846153846,7.0,27.5105648041,844.439331055,301.393493652,129.762481689,1273.17456055,377.263580322,1154.70080566,68.3439178467,21.442401886,155.185836792,67.2589416504,29.1196517944,0.0,0.0,0.0,100.901802063,9.46452617645,0.0,0.0,318.79019165,18.6344852448,0.0,29.6397724152,45.9909934998,0.0,2295.51611328,226.421051025,0.0,674.107788086,87.7318878174
13917,12,82.4585418701,0.0,313.232452393,40.0263137817,0.0,49.0554466248,E9-Site_0,41.8431372549,211.235294118,161.898590088,1432.2800293,747.737670898,40.837600708,966.475769043,164.048019409,5910.18603516,225.762390137,39.3447265625,90.1844177246,26.3766899109,11.6042156219,0.0,0.0,0.0,43.4099998474,0.0,0.0,0.0,503.45135498,143.661254883,0.0,24.3927307129,27.6510276794,0.0,2595.828125,225.813293457,0.0,334.702392578,43.0000801086
13918,13,65.7362518311,0.0,170.618927002,41.2753372192,0.0,65.5188980103,E9-Site_0,46.15,33.9,83.7246398926,1139.21850586,432.651702881,59.5679244995,777.549865723,194.555206299,2521.83691406,118.466117859,18.1358642578,151.218963623,29.9867591858,15.7995166779,0.0,0.0,2.56807971001,6.23475170135,0.0,0.0,0.0,385.325622559,84.6567382812,0.0,19.4343643188,44.7773132324,0.0,2196.27905273,172.004486084,0.0,352.88092041,44.069732666
13919,14,72.23046875,0.0,282.701049805,97.1303863525,0.0,153.427993774,E9-Site_0,53.0833333333,287.916666667,233.519958496,1535.22387695,720.992858887,229.893676758,1842.83190918,820.840087891,8715.33105469,623.520751953,37.624912262,834.186889648,155.564208984,43.5142288208,0.0,0.0,0.0,0.0,31.6765766144,0.0,0.0,626.596191406,132.658065796,0.0,64.7124404907,68.352142334,0.0,2862.88671875,211.858673096,0.0,823.865844727,64.8581237793
13922,17,110.638404846,0.0,357.088775635,45.8474960327,0.0,74.5226745605,E9-Site_0,56.275862069,204.724137931,221.177658081,1546.57128906,1008.52630615,54.5580558777,894.835571289,146.078399658,4836.47949219,218.917282104,43.8574638367,95.6124420166,33.0017700195,8.5028963089,0.0,0.0,0.0,42.5442810059,0.0,3.03378486633,0.0,356.192596436,111.84022522,0.0,13.2554759979,34.8908119202,0.0,1936.86572266,301.186218262,0.0,318.522460938,74.8182907104
13923,18,28.3145637512,0.0,198.047729492,63.9609336853,0.0,93.0170898438,E9-Site_0,58.625,66.75,386.407409668,1247.97705078,734.395507812,358.208618164,1232.22436523,829.856567383,19486.9414062,1564.67053223,25.5960845947,174.84753418,67.4997024536,32.8122024536,0.0,0.0,1.89030122757,44.0922775269,181.666366577,0.0,0.0,464.312072754,78.2541275024,0.0,16.6298713684,38.4474830627,0.0,1862.578125,136.763977051,0.0,572.119873047,53.0512695312
13924,19,68.0400924683,0.0,375.746246338,173.679077148,0.0,146.135940552,E9-Site_0,65.5384615385,301.461538462,161.220016479,1287.54309082,2030.98840332,410.815917969,2405.9543457,966.64074707,611.380859375,88.1401901245,75.4244613647,5275.69189453,365.253845215,53.1222457886,0.0,2.81227707863,0.0,0.0,79.2715835571,0.0,0.0,115.745925903,138.458404541,127.027679443,779.752685547,51.121219635,0.0,718.300170898,345.873626709,106.184112549,3739.44995117,150.104797363
13925,20,24.1883296967,0.0,155.543914795,47.9306640625,0.0,67.5691070557,E9-Site_0,66.3,42.8333333333,280.337799072,1371.79064941,458.895751953,265.369445801,914.368408203,532.156494141,15121.4746094,914.765686035,17.1794624329,224.337249756,49.7693710327,22.0922489166,0.0,0.0,0.0,7.64414596558,101.557937622,0.0,0.0,529.643432617,56.2996864319,0.0,28.9702987671,24.3138275146,0.0,1835.84033203,137.558380127,0.0,399.272247314,40.6952209473
13926,21,61.9211349487,0.0,212.67276001,64.9767608643,0.0,90.784362793,E9-Site_0,68.4230769231,236.307692308,255.460083008,1011.63226318,601.762329102,208.016586304,983.340759277,470.71005249,11182.6601562,757.342590332,25.9612483978,149.660614014,58.403793335,14.7622766495,0.0,0.0,0.0,147.912750244,89.8560943604,0.0,0.0,642.85736084,83.6171798706,0.0,31.61860466,31.873840332,0.0,2977.11547852,99.1560974121,0.0,641.798339844,35.0655670166
13927,22,16.3147964478,0.0,259.175476074,127.197250366,0.0,159.327667236,E9-Site_0,71.5,278.0,391.517242432,1494.38671875,721.688232422,203.645126343,1927.09094238,842.425048828,36628.296875,2277.61035156,27.1803512573,316.417449951,114.469497681,61.8196601868,0.0,0.0,0.0,139.850967407,25.4451789856,0.0,0.0,411.492736816,82.34715271,0.0,34.0179634094,60.34192276,0.0,2449.76318359,61.8438301086,0.0,759.237854004,56.9728279114
13928,23,24.590385437,0.0,267.917510986,62.858833313,0.0,99.9652023315,E9-Site_0,77.4736842105,272.263157895,258.603363037,1225.6730957,801.717895508,461.324371338,969.49810791,776.389587402,11897.5009766,934.329162598,26.4877948761,644.677490234,81.0504074097,33.7033958435,0.0,0.0,0.0,0.0,183.803482056,0.0,0.0,739.168029785,94.5863418579,0.0,45.2070465088,43.8435554504,0.0,2637.76733398,111.739089966,0.0,574.161804199,26.9566020966
13929,24,132.510604858,0.0,271.360870361,91.9928283691,0.0,105.737518311,E9-Site_0,80.0,150.0,399.038787842,1444.19909668,937.838623047,231.411346436,1599.70007324,407.56262207,8973.39648438,666.196044922,51.5158309937,210.647262573,75.5885009766,14.6335077286,0.0,0.0,0.0,70.3302612305,116.761909485,0.0,0.0,431.534057617,112.462104797,0.0,39.5066184998,37.348110199,0.0,2531.75097656,269.220184326,0.0,933.992553711,104.417236328
13930,25,62.0096206665,0.0,235.657226562,57.7496337891,0.0,86.5593795776,E9-Site_0,81.9545454545,227.863636364,248.561431885,992.615722656,707.907104492,187.556625366,791.653991699,489.736083984,11011.5488281,631.762268066,26.4760227203,129.212295532,49.0550308228,17.2456092834,0.0,0.0,0.0,108.083976746,76.0955123901,0.0,0.0,580.041320801,71.9554519653,0.0,26.3108158112,27.8539123535,0.0,2831.58496094,145.6381073,0.0,497.790008545,33.6321601868
